DT_DISPATCH,ISO_COUNTRY_CODE,TYPE_OF_CONTRACT,CPV,LOTS_NUMBER,VALUE_EURO,CRIT_CODE,CPV_GROUP
24/09/20,ES,S,85311300.0,1.0,5258880.0,M,85
07/02/20,ES,U,22113000.0,9.0,697115.0,L,22
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
25/05/22,ES,U,34300000.0,7.0,50461500.0,L,34
02/10/20,ES,U,3100000.0,5.0,569988.24,M,31
09/09/21,ES,S,64228100.0,1.0,138000.0,M,64
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
22/11/18,ES,S,79710000.0,11.0,,,79
17/02/23,ES,S,90910000.0,15.0,727890.92,M,90
07/07/21,ES,U,15700000.0,19.0,842644.13,M,15
28/07/23,ES,U,33111000.0,1.0,239669.42,M,33
21/04/21,ES,U,33141121.0,186.0,1018818.12,M,33
21/04/23,ES,S,90919200.0,21.0,105553717.95,M,90
19/10/22,ES,U,9310000.0,1.0,266554.85,M,93
22/03/19,ES,S,98200000.0,5.0,284154.01,,98
15/01/19,ES,U,33141121.0,198.0,11284939.2,M,33
09/07/20,ES,S,85121270.0,60.0,34824661.2,,85
28/07/23,ES,U,33193225.0,2.0,553500.0,M,33
03/11/22,ES,S,60140000.0,4.0,234535.9,M,60
17/08/20,ES,S,80540000.0,1.0,535537.2,,80
28/12/18,ES,U,9134100.0,10.0,1430000.0,M,91
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
14/10/19,ES,U,35113400.0,15.0,1114124.0,M,35
28/09/21,ES,S,72200000.0,1.0,5100000.0,M,72
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
20/08/20,ES,S,55523100.0,7.0,,,55
01/06/22,ES,S,72000000.0,22.0,5200000.0,,72
21/05/18,ES,U,44113330.0,3.0,404500.0,L,44
29/11/23,ES,S,79300000.0,1.0,,,79
07/05/20,ES,U,44522100.0,8.0,310320.0,L,44
13/03/19,ES,S,80500000.0,33.0,1633098.5,,80
02/06/20,ES,S,80530000.0,34.0,,,80
30/07/21,ES,S,79800000.0,3.0,434520.0,M,79
26/05/21,ES,S,60130000.0,57.0,203825245.36,,60
04/08/22,ES,S,65100000.0,2.0,8406382.4,M,65
04/08/23,ES,S,72600000.0,1.0,2320000.0,M,72
12/02/21,ES,S,77200000.0,9.0,550981.56,,77
01/12/23,ES,S,60442000.0,2.0,5236940.0,,60
13/03/19,ES,S,85310000.0,1.0,4090046.4,,85
17/05/19,ES,U,38000000.0,106.0,4745623.08,M,38
21/02/22,ES,S,75252000.0,1.0,,,75
06/06/23,ES,S,72150000.0,1.0,525800.0,M,72
23/01/20,ES,S,90910000.0,9.0,418095.0,M,90
13/07/22,ES,U,15000000.0,42.0,767919.07,M,15
13/05/20,ES,U,38400000.0,2.0,276490.0,M,38
30/06/22,ES,U,42515000.0,5.0,321591.75,L,42
25/08/20,ES,U,33100000.0,24.0,17810182.0,M,33
07/04/21,ES,U,33100000.0,73.0,237565.76,,33
22/05/23,ES,S,71631200.0,3.0,1996000.0,M,71
27/05/22,ES,U,30237300.0,3.0,499000.0,M,30
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
27/02/23,ES,U,48000000.0,1.0,1528584.75,L,48
09/03/20,ES,S,50000000.0,5.0,238855.01,M,50
30/04/21,ES,S,60130000.0,21.0,4418095.54,M,60
14/11/23,ES,U,15000000.0,4.0,266415.6,M,15
26/05/21,ES,S,72000000.0,1.0,13912800.0,M,72
20/12/21,ES,S,79710000.0,5.0,,,79
14/06/18,ES,S,60112000.0,19.0,539238.1,M,60
15/09/20,ES,U,34144900.0,115.0,147549651.53,M,34
18/04/22,ES,U,33184500.0,38.0,7917746.81,M,33
03/09/19,ES,U,15896000.0,2.0,1073514.75,M,15
07/09/20,ES,S,90911000.0,7.0,492756.51,M,90
14/06/22,ES,U,15000000.0,28.0,247136.88,M,15
26/05/21,ES,S,60130000.0,57.0,203825245.36,,60
25/10/19,ES,S,45262520.0,3.0,500000.0,M,45
09/09/21,ES,S,92111260.0,1.0,781163.64,M,92
07/06/18,ES,S,92610000.0,0.0,,,92
